;;Total;Check;Utility
Dataset;Binary;Value;Value;Value
Adult;true;306.0;61.0;0.027223087483846768
Adult;false;1886.0;628.0;0.023100889777899584
Cup;true;85540.0;589.0;0.029004838286968978
Cup;false;2.97486E7;561294.0;0.029004838286968978
Fars;true;6441.0;115.0;0.04323019201173787
Fars;false;14315.0;7157.0;0.010353350591334758
Atus;true;34023.0;1701.0;0.022442763403297844
Atus;false;103172.0;51586.0;0.0034456200467532917
Ihis;true;36612.0;2153.0;0.01604410572936466
Ihis;false;9916574.0;661104.0;0.01604410572936466
