;;;Entropy;EntropyWithBound
Dataset;Generalization;Suppression;Value;Value
Cup;1.0;0.1;2692152.9419765244;2692152.9419765244
Cup;1.0;0.2;2692152.9419765244;2692152.9419765244
Cup;1.0;0.3;2692152.9419765244;2692152.9419765244
Cup;1.0;0.4;2692152.9419765244;2692152.9419765244
Cup;1.0;0.5;2692152.9419765244;2692152.9419765244
Cup;1.0;0.6;2692152.9419765244;2692152.9419765244
Cup;1.0;0.7;2692152.9419765244;2692152.9419765244
Cup;1.0;0.8;2692152.9419765244;2692152.9419765244
Cup;1.0;0.9;2692152.9419765244;2692152.9419765244
Cup;1.0;1.0;2692152.9419765244;2692152.9419765244
Fars;0.0;0.0;0.0;0.0
Fars;0.0;0.1;-136441.67702430527;202025.1349116883
Fars;0.0;0.2;-105286.61685284605;400631.3412951032
Fars;0.0;0.3;-5270.442317566463;615146.5909581883
Fars;0.0;0.4;168915.95829613003;850889.9034604816
Fars;0.0;0.5;389321.8471500664;1092697.5833232184
Fars;0.0;0.6;660657.0135586393;1343158.0169145127
Fars;0.0;0.7;971096.9208708338;1594587.3345024819
Fars;0.0;0.8;1336463.0032551955;1847784.598832872
Fars;0.0;0.9;1748779.138625192;2087220.581570817
Fars;0.0;1.0;2335532.2301844507;2336265.096565956
Fars;0.25;0.0;963831.8348608911;963831.8348608911
Fars;0.25;0.1;721172.7034668883;1071610.7351549054
Fars;0.25;0.2;672275.7402269654;1180060.446946917
Fars;0.25;0.3;675216.8063469386;1314518.4920863716
Fars;0.25;0.4;757816.3053476551;1441858.1125877858
Fars;0.25;0.5;868100.065281343;1586357.3394513968
Fars;0.25;0.6;1038878.2756403756;1732149.5363001726
Fars;0.25;0.7;1253642.1159181662;1883541.1351060707
Fars;0.25;0.8;1516198.338567816;2046332.6619520432
Fars;0.25;0.9;1836354.2271244135;2181316.1854982353
Fars;0.25;1.0;2335545.739959455;2336336.1098349346
Fars;0.5;0.0;1485204.457268852;1485204.457268852
Fars;0.5;0.1;1234149.9021845493;1550134.8375250364
Fars;0.5;0.2;1140591.4861981617;1616218.4541589494
Fars;0.5;0.3;1117906.7105109377;1681223.380981033
Fars;0.5;0.4;1166006.0450560322;1752544.844093038
Fars;0.5;0.5;1224236.630430549;1854324.379813361
Fars;0.5;0.6;1329470.3032230628;1943942.1427372647
Fars;0.5;0.7;1492424.2213890082;2035808.3334042714
Fars;0.5;0.8;1692462.568458243;2153476.5330921514
Fars;0.5;0.9;1935415.3673078348;2245745.207809976
Fars;0.5;1.0;2335664.6903684493;2336378.5434225146
Fars;0.75;0.0;1900289.5793541917;1900289.5793541917
Fars;0.75;0.1;1751857.9450729154;1926351.7856706819
Fars;0.75;0.2;1695533.4123946726;1954516.486022456
Fars;0.75;0.3;1681620.8372665783;1981345.1114921686
Fars;0.75;0.4;1715965.5245064367;2011378.7382489364
Fars;0.75;0.5;1744097.0158540541;2075370.5752533092
Fars;0.75;0.6;1798825.0867930385;2123308.9474323806
Fars;0.75;0.7;1887542.817373111;2165144.363362471
Fars;0.75;0.8;1990277.1953225257;2233055.0452456456
Fars;0.75;0.9;2118631.828126768;2286993.559294889
Fars;0.75;1.0;2336009.051371315;2336410.5216683066
Fars;1.0;0.0;2336463.4661857504;2336463.4661857504
Fars;1.0;0.1;2336463.4661857504;2336463.4661857504
Fars;1.0;0.2;2336463.4661857504;2336463.4661857504
Fars;1.0;0.3;2336463.4661857504;2336463.4661857504
Fars;1.0;0.4;2336463.4661857504;2336463.4661857504
Fars;1.0;0.5;2336463.4661857504;2336463.4661857504
Fars;1.0;0.6;2336463.4661857504;2336463.4661857504
Fars;1.0;0.7;2336463.4661857504;2336463.4661857504
Fars;1.0;0.8;2336463.4661857504;2336463.4661857504
Fars;1.0;0.9;2336463.4661857504;2336463.4661857504
Fars;1.0;1.0;2336463.4661857504;2336463.4661857504
Atus;0.0;0.0;0.0;0.0
Atus;0.0;0.1;-1126866.368242089;1027485.5064101861
Atus;0.0;0.2;-1613780.6988196226;1884165.7889551127
Atus;0.0;0.3;-1362446.0521774103;2896523.2926751026
Atus;0.0;0.4;-831047.9216357204;3858742.898846292
Atus;0.0;0.5;-94084.01762036857;4748314.977129521
Atus;0.0;0.6;942966.6616423562;5648678.190396367
Atus;0.0;0.7;2380483.947283054;6645169.5909680035
Atus;0.0;0.8;4145298.477542655;7624659.941893036
Atus;0.0;0.9;6234740.881528553;8501496.637693407
Atus;0.0;1.0;9388783.029833008;9389273.512479018
Atus;0.25;0.0;2664214.0035765534;2664214.0035765534
Atus;0.25;0.1;1218056.005697392;3374338.882527369
Atus;0.25;0.2;513987.88096017035;4016012.8921066406
Atus;0.25;0.3;477961.38540734805;4740937.395238779
Atus;0.25;0.4;736366.7822633393;5430332.441342052
Atus;0.25;0.5;1220052.4127778257;6066570.164880108
Atus;0.25;0.6;1999866.4351929836;6709949.091207248
Atus;0.25;0.7;3153132.997786368;7421643.189231203
Atus;0.25;0.8;4642646.564332651;8124799.329208561
Atus;0.25;0.9;6485205.408439755;8753470.020821711
Atus;0.25;1.0;9388783.029833008;9389277.25980205
Atus;0.5;0.0;4547430.668786484;4547430.668786484
Atus;0.5;0.1;3088137.079410581;5046989.197157091
Atus;0.5;0.2;2401718.4636939974;5515377.875735774
Atus;0.5;0.3;2229105.746243668;6023385.515204532
Atus;0.5;0.4;2335703.4903477603;6514081.029520032
Atus;0.5;0.5;2669667.5320771527;6979862.439445479
Atus;0.5;0.6;3262380.125638214;7449823.953202927
Atus;0.5;0.7;4157749.545151626;7954790.6338839615
Atus;0.5;0.8;5354168.766378798;8456346.271016812
Atus;0.5;0.9;6901941.821212124;8920748.168281926
Atus;0.5;1.0;9388842.479724212;9389283.535779038
