;;;;Utility;Suppressed;Transformation
Dataset;Utility measure;Privacy model;Uniqueness;Value;Value;Value
Cup;Loss;p-sample-uniqueness;0.001;0.11984120089724391;2.4022319950820448;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.002;0.4905288563345409;6.476884033984332;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.002;0.11894294008639525;2.3029271291436135;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.003;0.4898161506879954;6.376002900332592;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.003;0.11803041113740738;2.2020459954918743;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.004;0.48910119790043965;6.276698034394161;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.004;0.11713213055621541;2.1027411295534435;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.005;0.4883902215801613;6.175816900742422;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.005;0.11621958147466976;2.0018599959017043;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.006;0.48767200155132157;6.076512034803991;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.006;0.11532128102769258;1.902555129963273;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.007;0.48694466447800966;5.975630901152252;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.007;0.11440871171631499;1.8016739963115334;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.008;0.4862679014858866;5.876326035213821;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.008;0.11351039130748661;1.7023691303731028;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.009;0.4855492416121314;5.77702116927539;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.009;0.11261206096048332;1.6030642644346715;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
Cup;Entropy;p-sample-uniqueness;0.01;0.4848128269447204;5.67614003562365;(60%, 100%, 0%, 0%, 0%, 100%, 100%, 0%)
Cup;Loss;p-sample-uniqueness;0.01;0.11169946120100006;1.5021831307829323;(80%, 50%, 0%, 0%, 0%, 25%, 50%, 25%)
